Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-10-07,Banco Supervielle S.A.,Clase VI,ARS,422000000,General,0.2569,24.3,422.0000,FINANCIERO
2016-10-12,Ángel Estrada y Compañía S.A.,Clase I,ARS,94500000,General,0.2725,24.3,94.5000,INDUSTRIA
2016-10-13,YPF S.A.,Adicionales Clase XXVIII,USD,197165000,General,0.0875,90.8,2980.2000,ENERGIA
2016-10-14,Indo S.A.,Serie VIII,ARS,10000000,PyME,0.2713,24.3,10.0000,FINANCIERO
2016-10-14,Banco Sáenz S.A.,Serie VIII,ARS,200000000,General,0.2675,24.3,200.0000,FINANCIERO
2016-10-20,Cordial Compañía Financiera S.A.,Clase 11,ARS,200000000,General,0.2675,18.2,200.0000,FINANCIERO
2016-10-20,Tarjetas Cuyanas S.A.,Clase XXVI Serie I,ARS,149763334,General,0.2600,18.2,149.7633,FINANCIERO
2016-10-20,Tarjetas Cuyanas S.A.,Clase XXVI Serie II,ARS,350236666,General,0.2600,48.7,350.2367,FINANCIERO
2016-10-21,Albanesi S.A.,Clase II,ARS,220000000,General,0.2606,24.3,220.0000,ENERGIA
2016-10-26,Rombo Compañía Financiera S.A.,Serie XXXIV,ARS,30000000,General,0.2473,18.2,30.0000,FINANCIERO
2016-10-26,Rombo Compañía Financiera S.A.,Serie XXXV,ARS,262777777,General,0.2575,36.5,262.7778,FINANCIERO
2016-10-31,Newsan S.A.,Clase 7,ARS,286626250,General,0.2575,18.2,286.6263,INDUSTRIA
2016-10-31,Newsan S.A.,Clase 8,ARS,213373750,General,0.2575,36.5,213.3738,INDUSTRIA
2016-11-01,Banco Macro S.A.,Clase A Subordinadas Reajustables,USD,400000000,General,0.0675,121.7,6050.1000,FINANCIERO
2016-11-02,Compañía General de Combustibles S.A.,Clase A,USD,300000000,General,0.0950,60.9,4525.3000,ENERGIA
2016-11-02,Tarshop S.A.,Clase IV,ARS,213031426,General,0.2675,18.2,213.0314,FINANCIERO
2016-11-02,Tarshop S.A.,Clase V,ARS,77818181,General,0.2675,30.4,77.8182,FINANCIERO
